epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.5777,0.5435,0.7373037204696562,0.7345,SmallMLP-Tanh-Adagrad-0.1-0
2,0.5389,0.5796,0.7033526665723582,0.6988,SmallMLP-Tanh-Adagrad-0.1-0
3,0.5303,0.5248,0.7411232140331023,0.7375,SmallMLP-Tanh-Adagrad-0.1-0
4,0.5235,0.5276,0.7364549441222238,0.7363,SmallMLP-Tanh-Adagrad-0.1-0
5,0.5203,0.5206,0.7402744376856698,0.7393,SmallMLP-Tanh-Adagrad-0.1-0
6,0.5181,0.5184,0.744235393973688,0.7406,SmallMLP-Tanh-Adagrad-0.1-0
7,0.5169,0.5211,0.7419719903805347,0.7363,SmallMLP-Tanh-Adagrad-0.1-0
8,0.5135,0.5157,0.7445183194228321,0.741,SmallMLP-Tanh-Adagrad-0.1-0
9,0.5126,0.5194,0.7432451549016834,0.7384,SmallMLP-Tanh-Adagrad-0.1-0
10,0.5127,0.5143,0.7445183194228321,0.741,SmallMLP-Tanh-Adagrad-0.1-0
11,0.5099,0.5127,0.7448012448719762,0.7414,SmallMLP-Tanh-Adagrad-0.1-0
12,0.5073,0.5119,0.7448012448719762,0.7416,SmallMLP-Tanh-Adagrad-0.1-0
13,0.5082,0.5214,0.742537841278823,0.736,SmallMLP-Tanh-Adagrad-0.1-0
14,0.5061,0.5158,0.746215872117697,0.7417,SmallMLP-Tanh-Adagrad-0.1-0
15,0.5067,0.5092,0.7449427075965483,0.7441,SmallMLP-Tanh-Adagrad-0.1-0
16,0.5053,0.5179,0.746215872117697,0.7413,SmallMLP-Tanh-Adagrad-0.1-0
17,0.5064,0.5283,0.7398500495119535,0.7313,SmallMLP-Tanh-Adagrad-0.1-0
18,0.505,0.5092,0.7439524685245438,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
19,0.5044,0.5098,0.7438110057999717,0.7436,SmallMLP-Tanh-Adagrad-0.1-0
20,0.5037,0.5165,0.7432451549016834,0.7371,SmallMLP-Tanh-Adagrad-0.1-0
21,0.5033,0.5098,0.7467817230159853,0.743,SmallMLP-Tanh-Adagrad-0.1-0
22,0.5042,0.5094,0.7463573348422691,0.7425,SmallMLP-Tanh-Adagrad-0.1-0
23,0.5035,0.5056,0.750035365681143,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
24,0.502,0.5068,0.7449427075965483,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
25,0.5029,0.5054,0.7494695147828547,0.7476,SmallMLP-Tanh-Adagrad-0.1-0
26,0.5026,0.5105,0.744235393973688,0.7442,SmallMLP-Tanh-Adagrad-0.1-0
27,0.5019,0.506,0.7460744093931249,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
28,0.5021,0.509,0.7438110057999717,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
29,0.501,0.5059,0.7494695147828547,0.7478,SmallMLP-Tanh-Adagrad-0.1-0
30,0.5011,0.5077,0.749893902956571,0.7466,SmallMLP-Tanh-Adagrad-0.1-0
31,0.5033,0.5069,0.7455085584948367,0.7453,SmallMLP-Tanh-Adagrad-0.1-0
32,0.501,0.5099,0.7426793040033951,0.7426,SmallMLP-Tanh-Adagrad-0.1-0
33,0.5019,0.5055,0.7511670674777197,0.7492,SmallMLP-Tanh-Adagrad-0.1-0
34,0.5006,0.5042,0.7496109775074268,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
35,0.5004,0.5068,0.7493280520582827,0.7463,SmallMLP-Tanh-Adagrad-0.1-0
36,0.5004,0.5045,0.7469231857405574,0.7463,SmallMLP-Tanh-Adagrad-0.1-0
37,0.5007,0.5083,0.7433866176262555,0.7433,SmallMLP-Tanh-Adagrad-0.1-0
38,0.5013,0.51,0.742537841278823,0.7425,SmallMLP-Tanh-Adagrad-0.1-0
39,0.5014,0.5059,0.749893902956571,0.7472,SmallMLP-Tanh-Adagrad-0.1-0
40,0.5001,0.5076,0.7445183194228321,0.7444,SmallMLP-Tanh-Adagrad-0.1-0
41,0.501,0.507,0.7435280803508275,0.7434,SmallMLP-Tanh-Adagrad-0.1-0
42,0.5017,0.5039,0.7493280520582827,0.7484,SmallMLP-Tanh-Adagrad-0.1-0
43,0.5003,0.5046,0.7476304993634177,0.747,SmallMLP-Tanh-Adagrad-0.1-0
44,0.5009,0.5037,0.7501768284057151,0.7487,SmallMLP-Tanh-Adagrad-0.1-0
45,0.4997,0.5039,0.7501768284057151,0.7484,SmallMLP-Tanh-Adagrad-0.1-0
46,0.5003,0.5085,0.7484792757108502,0.7445,SmallMLP-Tanh-Adagrad-0.1-0
47,0.5002,0.5042,0.7511670674777197,0.7491,SmallMLP-Tanh-Adagrad-0.1-0
48,0.5004,0.5039,0.7501768284057151,0.7484,SmallMLP-Tanh-Adagrad-0.1-0
49,0.4991,0.5083,0.7487622011599944,0.7449,SmallMLP-Tanh-Adagrad-0.1-0
50,0.5013,0.5049,0.7479134248125618,0.7473,SmallMLP-Tanh-Adagrad-0.1-0
51,0.4999,0.5037,0.7501768284057151,0.7485,SmallMLP-Tanh-Adagrad-0.1-0
52,0.4998,0.5037,0.7507426793040034,0.7493,SmallMLP-Tanh-Adagrad-0.1-0
53,0.4995,0.5037,0.7497524402319988,0.7487,SmallMLP-Tanh-Adagrad-0.1-0
54,0.4981,0.5095,0.7439524685245438,0.7439,SmallMLP-Tanh-Adagrad-0.1-0
55,0.4994,0.5044,0.7463573348422691,0.7458,SmallMLP-Tanh-Adagrad-0.1-0
56,0.4999,0.5044,0.7469231857405574,0.7464,SmallMLP-Tanh-Adagrad-0.1-0
57,0.5001,0.5083,0.7493280520582827,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
58,0.4982,0.5064,0.7508841420285755,0.7481,SmallMLP-Tanh-Adagrad-0.1-0
59,0.4981,0.5034,0.749893902956571,0.7485,SmallMLP-Tanh-Adagrad-0.1-0
60,0.4999,0.5145,0.7457914839439808,0.7401,SmallMLP-Tanh-Adagrad-0.1-0
61,0.5003,0.5064,0.7503182911302871,0.7473,SmallMLP-Tanh-Adagrad-0.1-0
62,0.4989,0.505,0.7460744093931249,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
63,0.4982,0.5092,0.7490451266091385,0.745,SmallMLP-Tanh-Adagrad-0.1-0
64,0.4984,0.5085,0.7497524402319988,0.7464,SmallMLP-Tanh-Adagrad-0.1-0
65,0.4999,0.5039,0.7473475739142736,0.7467,SmallMLP-Tanh-Adagrad-0.1-0
66,0.4983,0.5037,0.7514499929268638,0.7499,SmallMLP-Tanh-Adagrad-0.1-0
67,0.4986,0.5032,0.7491865893337105,0.7482,SmallMLP-Tanh-Adagrad-0.1-0
68,0.4992,0.5033,0.7491865893337105,0.748,SmallMLP-Tanh-Adagrad-0.1-0
69,0.4989,0.505,0.7511670674777197,0.7487,SmallMLP-Tanh-Adagrad-0.1-0
70,0.499,0.5067,0.7456500212194087,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
71,0.4986,0.5038,0.7501768284057151,0.7483,SmallMLP-Tanh-Adagrad-0.1-0
72,0.4983,0.5041,0.7504597538548592,0.7484,SmallMLP-Tanh-Adagrad-0.1-0
73,0.4981,0.504,0.7464987975668411,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
74,0.4998,0.5035,0.7481963502617061,0.7474,SmallMLP-Tanh-Adagrad-0.1-0
75,0.4981,0.5033,0.7503182911302871,0.7494,SmallMLP-Tanh-Adagrad-0.1-0
76,0.498,0.5035,0.7484792757108502,0.7477,SmallMLP-Tanh-Adagrad-0.1-0
77,0.4969,0.5082,0.7466402602914132,0.7466,SmallMLP-Tanh-Adagrad-0.1-0
78,0.4999,0.5044,0.7463573348422691,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
79,0.4979,0.5033,0.7501768284057151,0.7492,SmallMLP-Tanh-Adagrad-0.1-0
80,0.4989,0.5033,0.7508841420285755,0.7492,SmallMLP-Tanh-Adagrad-0.1-0
81,0.4986,0.5085,0.7506012165794314,0.7469,SmallMLP-Tanh-Adagrad-0.1-0
82,0.4983,0.5034,0.748054887537134,0.7474,SmallMLP-Tanh-Adagrad-0.1-0
83,0.4971,0.504,0.7507426793040034,0.7488,SmallMLP-Tanh-Adagrad-0.1-0
84,0.4987,0.5044,0.7508841420285755,0.7486,SmallMLP-Tanh-Adagrad-0.1-0
85,0.4983,0.5031,0.7497524402319988,0.7486,SmallMLP-Tanh-Adagrad-0.1-0
86,0.498,0.5032,0.7511670674777197,0.7496,SmallMLP-Tanh-Adagrad-0.1-0
87,0.4973,0.5031,0.7490451266091385,0.7483,SmallMLP-Tanh-Adagrad-0.1-0
88,0.4979,0.5034,0.7487622011599944,0.748,SmallMLP-Tanh-Adagrad-0.1-0
89,0.4972,0.5036,0.7514499929268638,0.7496,SmallMLP-Tanh-Adagrad-0.1-0
90,0.4974,0.5052,0.7508841420285755,0.7484,SmallMLP-Tanh-Adagrad-0.1-0
91,0.4979,0.5033,0.7491865893337105,0.7483,SmallMLP-Tanh-Adagrad-0.1-0
92,0.4979,0.5099,0.7486207384354223,0.7445,SmallMLP-Tanh-Adagrad-0.1-0
93,0.4973,0.5123,0.7419719903805347,0.7419,SmallMLP-Tanh-Adagrad-0.1-0
94,0.4975,0.5038,0.7466402602914132,0.7461,SmallMLP-Tanh-Adagrad-0.1-0
95,0.498,0.5102,0.7435280803508275,0.7435,SmallMLP-Tanh-Adagrad-0.1-0
96,0.4979,0.5042,0.7508841420285755,0.7487,SmallMLP-Tanh-Adagrad-0.1-0
97,0.4984,0.5067,0.7448012448719762,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
98,0.4973,0.5054,0.7456500212194087,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
99,0.4978,0.5038,0.751732918376008,0.7499,SmallMLP-Tanh-Adagrad-0.1-0
100,0.4979,0.5039,0.75187438110058,0.7498,SmallMLP-Tanh-Adagrad-0.1-0
1,0.6895,0.6697,0.7139623709152638,0.7117,SmallMLP-Tanh-Adagrad-0.01-0
2,0.6258,0.5903,0.7223086716650162,0.7218,SmallMLP-Tanh-Adagrad-0.01-0
3,0.5735,0.5615,0.7266940161267506,0.7245,SmallMLP-Tanh-Adagrad-0.01-0
4,0.5567,0.5526,0.7283915688216155,0.727,SmallMLP-Tanh-Adagrad-0.01-0
5,0.55,0.5465,0.7305135096901967,0.7275,SmallMLP-Tanh-Adagrad-0.01-0
6,0.5453,0.5433,0.7309378978639128,0.7289,SmallMLP-Tanh-Adagrad-0.01-0
7,0.542,0.5411,0.7310793605884849,0.7294,SmallMLP-Tanh-Adagrad-0.01-0
8,0.5387,0.5379,0.7324939878342057,0.7302,SmallMLP-Tanh-Adagrad-0.01-0
9,0.5368,0.5369,0.7344744659782148,0.7329,SmallMLP-Tanh-Adagrad-0.01-0
10,0.5352,0.5343,0.7353232423256472,0.7331,SmallMLP-Tanh-Adagrad-0.01-0
11,0.5336,0.5327,0.7358890932239355,0.7326,SmallMLP-Tanh-Adagrad-0.01-0
12,0.5317,0.5311,0.7381524968170887,0.7356,SmallMLP-Tanh-Adagrad-0.01-0
13,0.529,0.5307,0.7414061394822464,0.7376,SmallMLP-Tanh-Adagrad-0.01-0
14,0.5291,0.5289,0.7380110340925167,0.7356,SmallMLP-Tanh-Adagrad-0.01-0
15,0.5272,0.5287,0.7384354222662328,0.7369,SmallMLP-Tanh-Adagrad-0.01-0
16,0.5264,0.5274,0.7422549158296788,0.7389,SmallMLP-Tanh-Adagrad-0.01-0
17,0.5258,0.5263,0.7412646767576744,0.7382,SmallMLP-Tanh-Adagrad-0.01-0
18,0.5241,0.5254,0.7422549158296788,0.7397,SmallMLP-Tanh-Adagrad-0.01-0
19,0.5237,0.5249,0.7411232140331023,0.739,SmallMLP-Tanh-Adagrad-0.01-0
20,0.5229,0.5242,0.7415476022068185,0.7393,SmallMLP-Tanh-Adagrad-0.01-0
21,0.522,0.5237,0.7415476022068185,0.7387,SmallMLP-Tanh-Adagrad-0.01-0
22,0.5218,0.5231,0.7418305276559627,0.7394,SmallMLP-Tanh-Adagrad-0.01-0
23,0.5208,0.5226,0.7419719903805347,0.7396,SmallMLP-Tanh-Adagrad-0.01-0
24,0.521,0.5227,0.7409817513085302,0.7395,SmallMLP-Tanh-Adagrad-0.01-0
25,0.5197,0.5217,0.742537841278823,0.7401,SmallMLP-Tanh-Adagrad-0.01-0
26,0.5192,0.5218,0.7419719903805347,0.7404,SmallMLP-Tanh-Adagrad-0.01-0
27,0.519,0.5212,0.7414061394822464,0.7396,SmallMLP-Tanh-Adagrad-0.01-0
28,0.5187,0.5207,0.7432451549016834,0.7409,SmallMLP-Tanh-Adagrad-0.01-0
29,0.518,0.5204,0.7435280803508275,0.7414,SmallMLP-Tanh-Adagrad-0.01-0
30,0.5172,0.5201,0.744235393973688,0.7419,SmallMLP-Tanh-Adagrad-0.01-0
31,0.5171,0.5198,0.7448012448719762,0.7424,SmallMLP-Tanh-Adagrad-0.01-0
32,0.517,0.5195,0.7449427075965483,0.7427,SmallMLP-Tanh-Adagrad-0.01-0
33,0.5168,0.5193,0.7438110057999717,0.7411,SmallMLP-Tanh-Adagrad-0.01-0
34,0.5158,0.5195,0.7429622294525392,0.7415,SmallMLP-Tanh-Adagrad-0.01-0
35,0.5155,0.519,0.7436695430753997,0.742,SmallMLP-Tanh-Adagrad-0.01-0
36,0.5157,0.5185,0.7453670957702645,0.7429,SmallMLP-Tanh-Adagrad-0.01-0
37,0.5156,0.5183,0.7453670957702645,0.7434,SmallMLP-Tanh-Adagrad-0.01-0
38,0.5149,0.5188,0.742537841278823,0.7413,SmallMLP-Tanh-Adagrad-0.01-0
39,0.5145,0.5179,0.7455085584948367,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
40,0.5142,0.518,0.7435280803508275,0.742,SmallMLP-Tanh-Adagrad-0.01-0
41,0.5135,0.5174,0.7453670957702645,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
42,0.5137,0.5173,0.7452256330456924,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
43,0.5134,0.5171,0.7452256330456924,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
44,0.5135,0.5169,0.7453670957702645,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
45,0.5128,0.5169,0.7446597821474041,0.7421,SmallMLP-Tanh-Adagrad-0.01-0
46,0.5125,0.5169,0.7445183194228321,0.743,SmallMLP-Tanh-Adagrad-0.01-0
47,0.5132,0.5164,0.7450841703211204,0.7426,SmallMLP-Tanh-Adagrad-0.01-0
48,0.513,0.5162,0.7455085584948367,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
49,0.5125,0.5161,0.7450841703211204,0.7433,SmallMLP-Tanh-Adagrad-0.01-0
50,0.5126,0.5161,0.7446597821474041,0.742,SmallMLP-Tanh-Adagrad-0.01-0
51,0.5125,0.5157,0.7453670957702645,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
52,0.5115,0.5156,0.7452256330456924,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
53,0.5118,0.5156,0.7445183194228321,0.7419,SmallMLP-Tanh-Adagrad-0.01-0
54,0.5108,0.5158,0.7436695430753997,0.7423,SmallMLP-Tanh-Adagrad-0.01-0
55,0.5122,0.5151,0.746215872117697,0.7441,SmallMLP-Tanh-Adagrad-0.01-0
56,0.5118,0.5155,0.7435280803508275,0.7421,SmallMLP-Tanh-Adagrad-0.01-0
57,0.5117,0.5149,0.7463573348422691,0.7441,SmallMLP-Tanh-Adagrad-0.01-0
58,0.5107,0.5147,0.7452256330456924,0.7432,SmallMLP-Tanh-Adagrad-0.01-0
59,0.5104,0.5147,0.7446597821474041,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
60,0.5105,0.5145,0.7445183194228321,0.7427,SmallMLP-Tanh-Adagrad-0.01-0
61,0.5097,0.5158,0.7416890649313905,0.7408,SmallMLP-Tanh-Adagrad-0.01-0
62,0.5102,0.5142,0.7467817230159853,0.7446,SmallMLP-Tanh-Adagrad-0.01-0
63,0.5099,0.5142,0.744235393973688,0.7425,SmallMLP-Tanh-Adagrad-0.01-0
64,0.5105,0.5142,0.7450841703211204,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
65,0.5097,0.5138,0.7455085584948367,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
66,0.5097,0.5138,0.7439524685245438,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
67,0.5093,0.514,0.7426793040033951,0.7413,SmallMLP-Tanh-Adagrad-0.01-0
68,0.5089,0.5135,0.7455085584948367,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
69,0.5097,0.5135,0.7440939312491158,0.7425,SmallMLP-Tanh-Adagrad-0.01-0
70,0.509,0.5133,0.7439524685245438,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
71,0.5084,0.5132,0.7456500212194087,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
72,0.5091,0.5133,0.74437685669826,0.7429,SmallMLP-Tanh-Adagrad-0.01-0
73,0.5085,0.5132,0.7438110057999717,0.7423,SmallMLP-Tanh-Adagrad-0.01-0
74,0.5084,0.5131,0.7438110057999717,0.7423,SmallMLP-Tanh-Adagrad-0.01-0
75,0.5085,0.5128,0.7446597821474041,0.7427,SmallMLP-Tanh-Adagrad-0.01-0
76,0.508,0.5126,0.74437685669826,0.7425,SmallMLP-Tanh-Adagrad-0.01-0
77,0.5081,0.5125,0.7450841703211204,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
78,0.5079,0.5126,0.7446597821474041,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
79,0.5081,0.5129,0.7433866176262555,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
80,0.5079,0.5123,0.7450841703211204,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
81,0.5086,0.5122,0.7449427075965483,0.7427,SmallMLP-Tanh-Adagrad-0.01-0
82,0.5074,0.5121,0.7450841703211204,0.7433,SmallMLP-Tanh-Adagrad-0.01-0
83,0.5075,0.5121,0.7452256330456924,0.7435,SmallMLP-Tanh-Adagrad-0.01-0
84,0.5085,0.512,0.7456500212194087,0.7433,SmallMLP-Tanh-Adagrad-0.01-0
85,0.5074,0.512,0.7445183194228321,0.743,SmallMLP-Tanh-Adagrad-0.01-0
86,0.5072,0.5119,0.7446597821474041,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
87,0.5078,0.5119,0.7453670957702645,0.7439,SmallMLP-Tanh-Adagrad-0.01-0
88,0.5071,0.5118,0.7450841703211204,0.7436,SmallMLP-Tanh-Adagrad-0.01-0
89,0.5072,0.5115,0.7448012448719762,0.7428,SmallMLP-Tanh-Adagrad-0.01-0
90,0.5065,0.5114,0.7450841703211204,0.7433,SmallMLP-Tanh-Adagrad-0.01-0
91,0.507,0.5114,0.7448012448719762,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
92,0.5065,0.5113,0.7448012448719762,0.743,SmallMLP-Tanh-Adagrad-0.01-0
93,0.5061,0.5112,0.7450841703211204,0.7431,SmallMLP-Tanh-Adagrad-0.01-0
94,0.5066,0.5111,0.7439524685245438,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
95,0.507,0.5111,0.744235393973688,0.7426,SmallMLP-Tanh-Adagrad-0.01-0
96,0.5061,0.511,0.7448012448719762,0.743,SmallMLP-Tanh-Adagrad-0.01-0
97,0.5056,0.5109,0.7445183194228321,0.7427,SmallMLP-Tanh-Adagrad-0.01-0
98,0.5064,0.5109,0.7459329466685528,0.7438,SmallMLP-Tanh-Adagrad-0.01-0
99,0.5056,0.5108,0.7453670957702645,0.7433,SmallMLP-Tanh-Adagrad-0.01-0
100,0.5061,0.5107,0.7455085584948367,0.7433,SmallMLP-Tanh-Adagrad-0.01-0
1,0.7299,0.727,0.49370490875654266,0.3305,SmallMLP-Tanh-Adagrad-0.001-0
2,0.718,0.7189,0.49370490875654266,0.3305,SmallMLP-Tanh-Adagrad-0.001-0
